,Start,Destination,Volume
30,Tianjin,Beijing,801
60,Hebei,Beijing,2819
61,Hebei,Tianjin,190
90,Shanxi,Beijing,3814
92,Shanxi,Hebei,2449
99,Shanxi,Jiangsu,3217
106,Shanxi,Hubei,222
120,Inner mongolia,Beijing,885
121,Inner mongolia,Tianjin,548
122,Inner mongolia,Hebei,6694
123,Inner mongolia,Shanxi,301
125,Inner mongolia,Liaoning,3962
126,Inner mongolia,Jilin,158
127,Inner mongolia,Heilongjiang,591
129,Inner mongolia,Jiangsu,820
134,Inner mongolia,Shandong,2936
150,Liaoning,Beijing,155
152,Liaoning,Hebei,1435
182,Jilin,Hebei,233
184,Jilin,Inner mongolia,498
185,Jilin,Liaoning,1190
212,Heilongjiang,Hebei,101
214,Heilongjiang,Inner mongolia,378
215,Heilongjiang,Liaoning,220
216,Heilongjiang,Jilin,792
249,Shanghai,Jiangsu,383
278,Jiangsu,Shanghai,710
308,Zhejiang,Shanghai,566
338,Anhui,Shanghai,144
339,Anhui,Jiangsu,1796
340,Anhui,Zhejiang,2790
370,Fujian,Zhejiang,671
488,Hubei,Shanghai,814
489,Hubei,Jiangsu,423
493,Hubei,Jiangxi,452
495,Hubei,Henan,195
497,Hubei,Hunan,237
498,Hubei,Guangdong,539
528,Hunan,Guangdong,236
541,Guangdong,Tianjin,474
588,Guangxi,Guangdong,477
646,Chongqing,Hubei,115
668,Sichuan,Shanghai,340
669,Sichuan,Jiangsu,429
670,Sichuan,Zhejiang,376
681,Sichuan,Chongqing,346
707,Guizhou,Hunan,446
708,Guizhou,Guangdong,2558
711,Guizhou,Chongqing,279
738,Yunnan,Guangdong,1513
750,Shaanxi,Beijing,178
752,Shaanxi,Hebei,1645
765,Shaanxi,Henan,169
772,Shaanxi,Sichuan,421
790,Gansu,Zhejiang,195
794,Gansu,Shandong,154
797,Gansu,Hunan,563
805,Gansu,Shaanxi,467
807,Gansu,Qinghai,175
808,Gansu,Ningxia,523
836,Qinghai,Gansu,126
842,Ningxia,Hebei,154
844,Ningxia,Inner mongolia,680
850,Ningxia,Zhejiang,2517
854,Ningxia,Shandong,2032
880,Xinjiang,Zhejiang,158
881,Xinjiang,Anhui,730
885,Xinjiang,Henan,2692
896,Xinjiang,Gansu,480
